2010Ranks,CountyName,Pop2010,PopDen2010
201,Wheeler,"5,410",5.9
202,Jim Hogg,"5,300",4.7
203,Delta,"5,231",20.4
204,Mills,"4,936",6.6
205,Martin,"4,799",5.2
206,Kimble,"4,607",3.7
207,Crane,"4,375",5.6
208,Hardeman,"4,139",6
209,Sutton,"4,128",2.8
210,Concho,"4,087",4.2
211,Mason,"4,012",4.3
212,Fisher,"3,974",4.4
213,Hemphill,"3,807",4.2
214,Baylor,"3,726",4.3
215,Crockett,"3,719",1.3
216,Knox,"3,719",4.4
217,Donley,"3,677",4
218,Kinney,"3,598",2.6
219,Hudspeth,"3,476",0.8
220,Schleicher,"3,461",2.6
221,Shackelford,"3,378",3.7
222,Reagan,"3,367",2.9
223,Upton,"3,355",2.7
224,Hall,"3,353",3.8
225,Coke,"3,320",3.6
226,Real,"3,309",4.7
227,Lipscomb,"3,302",3.5
228,Cochran,"3,127",4
229,Collingsworth,"3,057",3.3
230,Sherman,"3,034",3.3
231,Dickens,"2,444",2.7
232,Culberson,"2,398",0.6
233,Jeff Davis,"2,342",1
234,Menard,"2,242",2.5
235,Oldham,"2,052",1.4
236,Edwards,"2,002",0.9
237,Armstrong,"1,901",2.1
238,Throckmorton,"1,641",1.8
239,Briscoe,"1,637",1.8
240,Irion,"1,599",1.5
241,Cottle,"1,505",1.7
242,Stonewall,"1,490",1.6
243,Foard,"1,336",1.9
244,Glasscock,"1,226",1.4
245,Motley,"1,210",1.2
246,Sterling,"1,143",1.2
247,Terrell,984,0.4
248,Roberts,929,1
249,Kent,808,0.9
250,McMullen,707,0.6
251,Borden,641,0.7
252,Kenedy,416,0.3
253,King,286,0.3
254,Loving,82,0.1
