2020Ranks,CountyName,Pop2020,PopDen2020
170,Somervell,"9,205",49.4
171,Stephens,"9,101",10.1
172,Mitchell,"8,990",9.9
173,Dimmit,"8,615",6.5
174,Archer,"8,560",9.5
175,Jack,"8,472",9.3
176,Hamilton,"8,222",9.8
177,San Augustine,"7,918",14.9
178,Winkler,"7,791",9.3
179,Yoakum,"7,694",9.6
180,Coleman,"7,684",6.1
181,McCulloch,"7,630",7.2
182,Castro,"7,371",8.2
183,Dallam,"7,115",4.7
184,Brooks,"7,076",7.5
185,Goliad,"7,012",8.2
186,Swisher,"6,971",7.8
187,Bailey,"6,904",8.4
188,Refugio,"6,741",8.7
189,Childress,"6,664",9.6
190,La Salle,"6,664",4.5
191,Presidio,"6,131",1.6
192,Garza,"5,816",6.5
193,Carson,"5,807",6.3
194,San Saba,"5,730",5
195,Lynn,"5,596",6.3
196,Haskell,"5,416",6
197,Floyd,"5,402",5.4
198,Hartley,"5,382",3.7
199,Hansford,"5,285",5.7
200,Martin,"5,237",5.7
201,Delta,"5,230",20.4
202,Crosby,"5,133",5.7
203,Wheeler,"4,990",5.5
204,Jim Hogg,"4,838",4.3
205,Crane,"4,675",6
206,Mills,"4,456",6
207,Kimble,"4,286",3.4
208,Mason,"3,953",4.3
209,Fisher,"3,672",4.1
210,Hardeman,"3,549",5.1
211,Baylor,"3,465",4
212,Reagan,"3,385",2.9
213,Hemphill,"3,382",3.7
214,Sutton,"3,372",2.3
215,Knox,"3,353",3.9
216,Upton,"3,308",2.7
217,Concho,"3,303",3.4
218,Coke,"3,285",3.6
219,Donley,"3,258",3.5
220,Hudspeth,"3,202",0.7
221,Kinney,"3,129",2.3
222,Shackelford,"3,105",3.4
223,Crockett,"3,098",1.1
224,Lipscomb,"3,059",3.3
225,Hall,"2,825",3.2
226,Sherman,"2,782",3
227,Real,"2,758",3.9
228,Collingsworth,"2,652",2.9
229,Cochran,"2,547",3.3
230,Schleicher,"2,451",1.9
231,Culberson,"2,188",0.6
232,Jeff Davis,"1,996",0.9
233,Menard,"1,962",2.2
234,Armstrong,"1,848",2
235,Dickens,"1,770",2
236,Oldham,"1,758",1.2
237,Irion,"1,513",1.4
238,Throckmorton,"1,440",1.6
239,Briscoe,"1,435",1.6
240,Edwards,"1,422",0.7
241,Cottle,"1,380",1.5
242,Sterling,"1,372",1.5
243,Stonewall,"1,245",1.4
244,Glasscock,"1,116",1.2
245,Foard,"1,095",1.6
246,Motley,"1,063",1.1
247,Roberts,827,0.9
248,Terrell,760,0.3
249,Kent,753,0.8
250,Borden,631,0.7
251,McMullen,600,0.5
252,Kenedy,350,0.2
253,King,265,0.3
254,Loving,64,0.1
